종목코드,종목명,종가,대비,등락률,상장시가총액,지수명
289080,SV인베스트먼트,4280,235,5.81,232474.0,KRX TMI
289220,자이언트스텝,3055,-55,-1.77,68164.0,KRX TMI
289930,웨이비스,21900,200,0.92,285116.0,KRX TMI
290090,트윔,6650,-20,-0.3,49478.0,KRX TMI
290120,DH오토리드,3115,-180,-5.46,49293.0,KRX TMI
290270,휴네시온,4215,5,0.12,40496.0,KRX TMI
290560,파라택시스이더리움,1730,-65,-3.62,38688.0,KRX TMI
290660,다이나믹솔루션,1159,13,1.13,97503.0,KRX TMI
290670,대보마그네틱,12210,-140,-1.13,95942.0,KRX TMI
290690,소룩스,3625,-145,-3.85,178848.0,KRX TMI
290740,액트로,18100,-160,-0.88,182177.0,KRX TMI
291230,엔피,810,-13,-1.58,35718.0,KRX TMI
291650,압타머사이언스,1688,-17,-1.0,103034.0,KRX TMI
291810,핀텔,1915,40,2.13,21771.0,KRX TMI
293580,나우IB,2685,50,1.9,254887.0,KRX TMI
293780,압타바이오,8370,-100,-1.18,235142.0,KRX TMI
294140,레몬,3375,-30,-0.88,75650.0,KRX TMI
294570,쿠콘,29950,100,0.34,302247.0,KRX TMI
294630,서남,4670,120,2.64,123131.0,KRX TMI
296640,이노에이엑스,7730,-310,-3.86,40028.0,KRX TMI
297090,씨에스베어링,8800,-350,-3.83,239976.0,KRX TMI
297570,알로이스,1670,-111,-6.23,57817.0,KRX TMI
297890,HB솔루션,2360,60,2.61,172613.0,KRX TMI
298540,더네이쳐홀딩스,8090,100,1.25,117195.0,KRX TMI
299030,하나기술,31150,-700,-2.2,249041.0,KRX TMI
299170,더블유에스아이,2320,-115,-4.72,96306.0,KRX TMI
299660,셀리드,3205,25,0.79,94557.0,KRX TMI
299900,위지윅스튜디오,408,-2,-0.49,69788.0,KRX TMI
300080,플리토,11470,-50,-0.43,189318.0,KRX TMI
300120,라온피플,1100,83,8.16,54454.0,KRX TMI
301300,바이브컴퍼니,2710,-60,-2.17,35649.0,KRX TMI
302430,이노메트리,8740,350,4.17,85942.0,KRX TMI
302550,리메드,3090,5,0.16,95503.0,KRX TMI
303030,지니틱스,748,0,0.0,34249.0,KRX TMI
303360,프로티아,4950,-60,-1.2,63755.0,KRX TMI
303530,이노뎁,4900,-100,-2.0,35963.0,KRX TMI
303810,동국생명과학,3415,-45,-1.3,109226.0,KRX TMI
304100,솔트룩스,23050,-350,-1.5,290288.0,KRX TMI
305090,마이크로디지탈,6130,-60,-0.97,113988.0,KRX TMI
306040,에스제이그룹,6830,-340,-4.74,67384.0,KRX TMI
306620,지아이에스,3410,165,5.08,163291.0,KRX TMI
307180,아이엘,7730,1390,21.92,268335.0,KRX TMI
307280,원바이오젠,7550,120,1.62,53564.0,KRX TMI
307750,국전,3855,-55,-1.41,208117.0,KRX TMI
307870,비투엔,1140,-17,-1.47,84701.0,KRX TMI
307930,컴퍼니케이,10660,1540,16.89,166403.0,KRX TMI
308080,바이젠셀,10330,-560,-5.14,211757.0,KRX TMI
308100,형지글로벌,960,0,0.0,23062.0,KRX TMI
309710,아이티켐,21000,0,0.0,268443.0,KRX TMI
309930,조이웍스앤코,2210,368,19.98,54116.0,KRX TMI
309960,LB인베스트먼트,5990,90,1.53,139071.0,KRX TMI
310200,애니플러스,2825,-15,-0.53,147360.0,KRX TMI
310870,디와이씨,1575,-43,-2.66,32582.0,KRX TMI
311320,지오엘리먼트,8780,320,3.78,110756.0,KRX TMI
311390,네오크레마,4720,0,0.0,59726.0,KRX TMI
311690,CJ 바이오사이언스,7840,50,0.64,102433.0,KRX TMI
312610,에이에프더블류,1308,-42,-3.11,26496.0,KRX TMI
314130,지놈앤컴퍼니,7340,280,3.97,265407.0,KRX TMI
314140,알피바이오,6370,120,1.92,55205.0,KRX TMI
315640,딥노이드,3630,30,0.83,106621.0,KRX TMI
317120,라닉스,2520,45,1.82,38455.0,KRX TMI
317240,TS트릴리온,309,0,0.0,45078.0,KRX TMI
317530,에피소드컴퍼니,3980,-65,-1.61,69630.0,KRX TMI
317690,퀀타매트릭스,4215,305,7.8,84869.0,KRX TMI
317770,엑스페릭스,3760,75,2.04,137189.0,KRX TMI
317830,에스피시스템스,10660,140,1.33,114849.0,KRX TMI
317850,대모,9030,50,0.56,75170.0,KRX TMI
317870,엔바이오니아,8110,-410,-4.81,71708.0,KRX TMI
318000,KBG,4565,-5,-0.11,39899.0,KRX TMI
318010,팜스빌,3770,70,1.89,29894.0,KRX TMI
318020,포인트모바일,3795,70,1.88,46683.0,KRX TMI
318160,셀바이오휴먼텍,8080,430,5.62,75477.0,KRX TMI
318410,비비씨,7550,50,0.67,41942.0,KRX TMI
320000,한울반도체,1533,0,0.0,51116.0,KRX TMI
321260,프로이천,3230,745,29.98,91060.0,KRX TMI
321370,센서뷰,3565,535,17.66,184185.0,KRX TMI
321820,아티스트컴퍼니,4900,95,1.98,76398.0,KRX TMI
322180,LS티라유텍,9260,330,3.7,193738.0,KRX TMI
322510,제이엘케이,7210,30,0.42,185484.0,KRX TMI
322780,코퍼스코리아,458,0,0.0,20552.0,KRX TMI
323350,다원넥스뷰,13700,1780,14.93,109748.0,KRX TMI
323990,박셀바이오,7240,-240,-3.21,168383.0,KRX TMI
328380,솔트웨어,885,0,0.0,30323.0,KRX TMI
330350,위더스제약,8930,-10,-0.11,117895.0,KRX TMI
330730,스톤브릿지벤처스,6680,250,3.89,121695.0,KRX TMI
331520,밸로프,2615,0,0.0,26602.0,KRX TMI
331740,아우토크립트,14810,-430,-2.82,144393.0,KRX TMI
331920,셀레믹스,14250,-740,-4.94,116339.0,KRX TMI
332290,누보,1357,-25,-1.81,54150.0,KRX TMI
332370,아이디피,5190,-30,-0.57,68891.0,KRX TMI
333050,이노테나,1393,0,0.0,34286.0,KRX TMI
333430,일승,6220,-70,-1.11,191120.0,KRX TMI
333620,엔시스,7150,20,0.28,75478.0,KRX TMI
334970,프레스티지바이오로직스,2245,-135,-5.67,174555.0,KRX TMI
335810,프리시젼바이오,2270,5,0.22,49825.0,KRX TMI
335870,윙스풋,1858,-18,-0.96,31122.0,KRX TMI
336060,웨이버스,1080,40,3.85,52008.0,KRX TMI
336680,탑런토탈솔루션,3850,-25,-0.65,150710.0,KRX TMI
337930,젝시믹스,4350,-45,-1.02,129093.0,KRX TMI
338220,뷰노,17250,-1710,-9.02,241531.0,KRX TMI
339950,아이비김영,2710,-15,-0.55,121805.0,KRX TMI
340360,다보링크,1543,-11,-0.71,80333.0,KRX TMI
340440,세림B&G,2355,-155,-6.18,66831.0,KRX TMI
340450,지씨지놈,8270,-200,-2.36,195592.0,KRX TMI
340810,시선AI,3235,-100,-3.0,44141.0,KRX TMI
340930,유일에너테크,806,0,0.0,55514.0,KRX TMI
342870,오아,6820,10,0.15,37170.0,KRX TMI
